dteday,weathersit,cnt,weathersit_label
2011-01-01,2,985,Misty
2011-01-02,2,801,Misty
2011-01-03,1,1349,Clear
2011-01-04,1,1562,Clear
2011-01-05,1,1600,Clear
2011-01-06,1,1606,Clear
2011-01-07,2,1510,Misty
2011-01-08,2,959,Misty
2011-01-09,1,822,Clear
2011-01-10,1,1321,Clear
2011-01-11,2,1263,Misty
2011-01-12,1,1162,Clear
2011-01-13,1,1406,Clear
2011-01-14,1,1421,Clear
2011-01-15,2,1248,Misty
2011-01-16,1,1204,Clear
2011-01-17,2,1000,Misty
2011-01-18,2,683,Misty
2011-01-19,2,1650,Misty
2011-01-20,2,1927,Misty
2011-01-21,1,1543,Clear
2011-01-22,1,981,Clear
2011-01-23,1,986,Clear
2011-01-24,1,1416,Clear
2011-01-25,2,1985,Misty
2011-01-26,3,506,Light Rain
2011-01-27,1,431,Clear
2011-01-28,2,1167,Misty
2011-01-29,1,1098,Clear
2011-01-30,1,1096,Clear
2011-01-31,2,1501,Misty
2011-02-01,2,1360,Misty
2011-02-02,2,1526,Misty
2011-02-03,1,1550,Clear
2011-02-04,2,1708,Misty
2011-02-05,2,1005,Misty
2011-02-06,1,1623,Clear
2011-02-07,1,1712,Clear
2011-02-08,1,1530,Clear
2011-02-09,2,1605,Misty
2011-02-10,1,1538,Clear
2011-02-11,1,1746,Clear
2011-02-12,1,1472,Clear
2011-02-13,1,1589,Clear
2011-02-14,1,1913,Clear
2011-02-15,1,1815,Clear
2011-02-16,1,2115,Clear
2011-02-17,1,2475,Clear
2011-02-18,1,2927,Clear
2011-02-19,1,1635,Clear
2011-02-20,1,1812,Clear
2011-02-21,2,1107,Misty
2011-02-22,1,1450,Clear
2011-02-23,1,1917,Clear
2011-02-24,2,1807,Misty
2011-02-25,2,1461,Misty
2011-02-26,1,1969,Clear
2011-02-27,1,2402,Clear
2011-02-28,2,1446,Misty
2011-03-01,1,1851,Clear
2011-03-02,1,2134,Clear
2011-03-03,1,1685,Clear
2011-03-04,2,1944,Misty
2011-03-05,2,2077,Misty
2011-03-06,2,605,Misty
2011-03-07,1,1872,Clear
2011-03-08,1,2133,Clear
2011-03-09,2,1891,Misty
2011-03-10,3,623,Light Rain
2011-03-11,2,1977,Misty
2011-03-12,1,2132,Clear
2011-03-13,1,2417,Clear
2011-03-14,1,2046,Clear
2011-03-15,2,2056,Misty
2011-03-16,2,2192,Misty
2011-03-17,1,2744,Clear
2011-03-18,1,3239,Clear
2011-03-19,1,3117,Clear
2011-03-20,1,2471,Clear
2011-03-21,2,2077,Misty
2011-03-22,1,2703,Clear
2011-03-23,2,2121,Misty
2011-03-24,2,1865,Misty
2011-03-25,1,2210,Clear
2011-03-26,1,2496,Clear
2011-03-27,2,1693,Misty
2011-03-28,1,2028,Clear
2011-03-29,1,2425,Clear
2011-03-30,2,1536,Misty
2011-03-31,3,1685,Light Rain
2011-04-01,2,2227,Misty
2011-04-02,2,2252,Misty
2011-04-03,1,3249,Clear
2011-04-04,1,3115,Clear
2011-04-05,2,1795,Misty
2011-04-06,1,2808,Clear
2011-04-07,1,3141,Clear
2011-04-08,2,1471,Misty
2011-04-09,2,2455,Misty
2011-04-10,2,2895,Misty
2011-04-11,2,3348,Misty
2011-04-12,2,2034,Misty
2011-04-13,2,2162,Misty
2011-04-14,1,3267,Clear
2011-04-15,1,3126,Clear
2011-04-16,3,795,Light Rain
2011-04-17,1,3744,Clear
2011-04-18,1,3429,Clear
2011-04-19,2,3204,Misty
2011-04-20,1,3944,Clear
2011-04-21,1,4189,Clear
2011-04-22,2,1683,Misty
2011-04-23,2,4036,Misty
2011-04-24,2,4191,Misty
2011-04-25,1,4073,Clear
2011-04-26,1,4400,Clear
2011-04-27,2,3872,Misty
2011-04-28,2,4058,Misty
2011-04-29,1,4595,Clear
2011-04-30,1,5312,Clear
2011-05-01,2,3351,Misty
2011-05-02,2,4401,Misty
2011-05-03,2,4451,Misty
2011-05-04,2,2633,Misty
2011-05-05,1,4433,Clear
2011-05-06,1,4608,Clear
2011-05-07,1,4714,Clear
2011-05-08,1,4333,Clear
2011-05-09,1,4362,Clear
2011-05-10,1,4803,Clear
2011-05-11,1,4182,Clear
2011-05-12,1,4864,Clear
2011-05-13,2,4105,Misty
2011-05-14,2,3409,Misty
2011-05-15,2,4553,Misty
2011-05-16,1,3958,Clear
2011-05-17,2,4123,Misty
2011-05-18,2,3855,Misty
2011-05-19,2,4575,Misty
2011-05-20,1,4917,Clear
2011-05-21,1,5805,Clear
2011-05-22,1,4660,Clear
2011-05-23,2,4274,Misty
2011-05-24,2,4492,Misty
2011-05-25,1,4978,Clear
2011-05-26,1,4677,Clear
2011-05-27,1,4679,Clear
2011-05-28,1,4758,Clear
2011-05-29,1,4788,Clear
2011-05-30,1,4098,Clear
2011-05-31,1,3982,Clear
2011-06-01,2,3974,Misty
2011-06-02,1,4968,Clear
2011-06-03,1,5312,Clear
2011-06-04,1,5342,Clear
2011-06-05,2,4906,Misty
2011-06-06,1,4548,Clear
2011-06-07,1,4833,Clear
2011-06-08,1,4401,Clear
2011-06-09,2,3915,Misty
2011-06-10,1,4586,Clear
2011-06-11,1,4966,Clear
2011-06-12,1,4460,Clear
2011-06-13,1,5020,Clear
2011-06-14,1,4891,Clear
2011-06-15,1,5180,Clear
2011-06-16,2,3767,Misty
2011-06-17,1,4844,Clear
2011-06-18,1,5119,Clear
2011-06-19,2,4744,Misty
2011-06-20,2,4010,Misty
2011-06-21,2,4835,Misty
2011-06-22,1,4507,Clear
2011-06-23,2,4790,Misty
2011-06-24,1,4991,Clear
2011-06-25,1,5202,Clear
2011-06-26,1,5305,Clear
2011-06-27,2,4708,Misty
2011-06-28,1,4648,Clear
2011-06-29,1,5225,Clear
2011-06-30,1,5515,Clear
2011-07-01,1,5362,Clear
2011-07-02,1,5119,Clear
2011-07-03,2,4649,Misty
2011-07-04,2,6043,Misty
2011-07-05,1,4665,Clear
2011-07-06,1,4629,Clear
2011-07-07,1,4592,Clear
2011-07-08,2,4040,Misty
2011-07-09,1,5336,Clear
2011-07-10,1,4881,Clear
2011-07-11,1,4086,Clear
2011-07-12,1,4258,Clear
2011-07-13,1,4342,Clear
2011-07-14,1,5084,Clear
2011-07-15,1,5538,Clear
2011-07-16,1,5923,Clear
2011-07-17,1,5302,Clear
2011-07-18,1,4458,Clear
2011-07-19,1,4541,Clear
2011-07-20,1,4332,Clear
2011-07-21,2,3784,Misty
2011-07-22,1,3387,Clear
2011-07-23,1,3285,Clear
2011-07-24,1,3606,Clear
2011-07-25,1,3840,Clear
2011-07-26,1,4590,Clear
2011-07-27,1,4656,Clear
2011-07-28,1,4390,Clear
2011-07-29,1,3846,Clear
2011-07-30,1,4475,Clear
2011-07-31,1,4302,Clear
2011-08-01,1,4266,Clear
2011-08-02,1,4845,Clear
2011-08-03,2,3574,Misty
2011-08-04,2,4576,Misty
2011-08-05,1,4866,Clear
2011-08-06,2,4294,Misty
2011-08-07,1,3785,Clear
2011-08-08,1,4326,Clear
2011-08-09,1,4602,Clear
2011-08-10,1,4780,Clear
2011-08-11,1,4792,Clear
2011-08-12,1,4905,Clear
2011-08-13,2,4150,Misty
2011-08-14,2,3820,Misty
2011-08-15,1,4338,Clear
2011-08-16,1,4725,Clear
2011-08-17,1,4694,Clear
2011-08-18,1,3805,Clear
2011-08-19,2,4153,Misty
2011-08-20,1,5191,Clear
2011-08-21,1,3873,Clear
2011-08-22,1,4758,Clear
2011-08-23,1,5895,Clear
2011-08-24,1,5130,Clear
2011-08-25,2,3542,Misty
2011-08-26,1,4661,Clear
2011-08-27,2,1115,Misty
2011-08-28,1,4334,Clear
2011-08-29,1,4634,Clear
2011-08-30,1,5204,Clear
2011-08-31,1,5058,Clear
2011-09-01,1,5115,Clear
2011-09-02,2,4727,Misty
2011-09-03,1,4484,Clear
2011-09-04,1,4940,Clear
2011-09-05,2,3351,Misty
2011-09-06,3,2710,Light Rain
2011-09-07,3,1996,Light Rain
2011-09-08,3,1842,Light Rain
2011-09-09,2,3544,Misty
2011-09-10,1,5345,Clear
2011-09-11,1,5046,Clear
2011-09-12,1,4713,Clear
2011-09-13,1,4763,Clear
2011-09-14,1,4785,Clear
2011-09-15,2,3659,Misty
2011-09-16,2,4760,Misty
2011-09-17,2,4511,Misty
2011-09-18,1,4274,Clear
2011-09-19,2,4539,Misty
2011-09-20,2,3641,Misty
2011-09-21,2,4352,Misty
2011-09-22,2,4795,Misty
2011-09-23,2,2395,Misty
2011-09-24,2,5423,Misty
2011-09-25,2,5010,Misty
2011-09-26,2,4630,Misty
2011-09-27,2,4120,Misty
2011-09-28,2,3907,Misty
2011-09-29,1,4839,Clear
2011-09-30,1,5202,Clear
2011-10-01,2,2429,Misty
2011-10-02,2,2918,Misty
2011-10-03,2,3570,Misty
2011-10-04,1,4456,Clear
2011-10-05,1,4826,Clear
2011-10-06,1,4765,Clear
2011-10-07,1,4985,Clear
2011-10-08,1,5409,Clear
2011-10-09,1,5511,Clear
2011-10-10,1,5117,Clear
2011-10-11,2,4563,Misty
2011-10-12,3,2416,Light Rain
2011-10-13,2,2913,Misty
2011-10-14,2,3644,Misty
2011-10-15,1,5217,Clear
2011-10-16,1,5041,Clear
2011-10-17,1,4570,Clear
2011-10-18,2,4748,Misty
2011-10-19,3,2424,Light Rain
2011-10-20,1,4195,Clear
2011-10-21,1,4304,Clear
2011-10-22,1,4308,Clear
2011-10-23,1,4381,Clear
2011-10-24,1,4187,Clear
2011-10-25,1,4687,Clear
2011-10-26,2,3894,Misty
2011-10-27,2,2659,Misty
2011-10-28,2,3747,Misty
2011-10-29,3,627,Light Rain
2011-10-30,1,3331,Clear
2011-10-31,1,3669,Clear
2011-11-01,1,4068,Clear
2011-11-02,1,4186,Clear
2011-11-03,1,3974,Clear
2011-11-04,2,4046,Misty
2011-11-05,1,3926,Clear
2011-11-06,1,3649,Clear
2011-11-07,1,4035,Clear
2011-11-08,1,4205,Clear
2011-11-09,1,4109,Clear
2011-11-10,2,2933,Misty
2011-11-11,1,3368,Clear
2011-11-12,1,4067,Clear
2011-11-13,1,3717,Clear
2011-11-14,1,4486,Clear
2011-11-15,2,4195,Misty
2011-11-16,3,1817,Light Rain
2011-11-17,2,3053,Misty
2011-11-18,1,3392,Clear
2011-11-19,1,3663,Clear
2011-11-20,2,3520,Misty
2011-11-21,3,2765,Light Rain
2011-11-22,3,1607,Light Rain
2011-11-23,2,2566,Misty
2011-11-24,1,1495,Clear
2011-11-25,1,2792,Clear
2011-11-26,1,3068,Clear
